route_name,l3_status,note
AppRouteNames.sc007Home,pass,tab_root_360_440_visual_qa
AppRouteNames.sc048Trade,pass,tab_root_360_440_visual_qa
AppRouteNames.sc135Wallet,pass,tab_root_360_440_visual_qa
AppRouteNames.sc156Profile,pass,tab_root_360_440_visual_qa
AppRouteNames.sc027PredictionsHome,pass,tab_root_360_440_visual_qa
AppRouteNames.sc049TradePair,pass,tab_root_360_440_visual_qa
AppRouteNames.sc137Deposit,pass,p0_financial_360_visual_qa
AppRouteNames.sc139Withdraw,pass,p0_financial_360_visual_qa
AppRouteNames.sc246P2PEscrowDetail,pass,p0_financial_360_visual_qa
AppRouteNames.sc055AdvancedChart,pass,flush_chart_360_visual_qa
AppRouteNames.sc019MarketDepth,pass,flush_chart_360_visual_qa
AppRouteNames.sc399DesignSystem,pass,dev_flush_visual_qa
AppRouteNames.sc398MissingScreensShowcase,pass,dev_flush_visual_qa
AppRouteNames.sc326PerformanceMonitor,pass,dev_flush_visual_qa
AppRouteNames.sc325RouteChecker,pass,dev_flush_visual_qa
